iter	Passed	Remaining
0	2	291
1	5	268
2	8	263
3	10	242
4	12	237
5	14	234
6	17	230
7	19	227
8	22	223
9	24	221
10	27	220
11	29	217
12	31	213
13	34	210
14	36	208
15	39	205
16	42	205
17	44	203
18	47	200
19	49	198
20	51	195
21	54	193
22	57	191
23	59	189
24	62	186
25	64	183
26	66	180
27	69	178
28	71	175
29	74	173
30	76	170
31	79	168
32	81	165
33	84	163
34	86	160
35	89	158
36	91	155
37	93	153
38	96	150
39	98	147
40	100	145
41	102	140
42	104	138
43	106	135
44	108	133
45	111	130
46	113	128
47	116	126
48	118	123
49	121	121
50	124	119
51	127	117
52	131	116
53	134	114
54	136	111
55	138	109
56	141	106
57	143	104
58	146	101
59	148	98
60	150	96
61	153	94
62	156	91
63	158	89
64	161	86
65	163	84
66	165	81
67	168	79
68	170	76
69	173	74
70	175	71
71	178	69
72	180	66
73	182	64
74	185	61
75	188	59
76	190	56
77	193	54
78	195	51
79	197	49
80	200	47
81	202	44
82	205	42
83	207	39
84	210	37
85	212	34
86	215	32
87	217	29
88	220	27
89	223	24
90	225	22
91	227	19
92	230	17
93	232	14
94	234	12
95	237	9
96	239	7
97	242	4
98	244	2
99	247	0
